,Prop_type,Area,Bedrooms,Bathrooms,Receptions,County,Price
2515,1,1070,3,3,3,London,1800000
1614,2,1467,3,3,3,London,1800000
469,2,1776,5,5,5,London,1800000
2329,4,1490,2,2,2,London,1800000
2573,3,1352,3,3,3,London,1800000
2332,1,1441,3,3,3,London,1800000
968,1,1405,3,3,3,London,1800000
2411,1,1386,3,3,3,London,1800000
725,1,1480,3,3,3,London,1850000
1530,1,1176,2,2,2,London,1850000
1559,2,1512,3,3,3,London,1850000
1169,3,1462,3,3,3,London,1850000
578,1,1623,4,4,4,London,1850000
2070,2,1625,4,4,4,London,1850000
2391,4,1268,2,2,2,London,1850000
1276,1,1454,2,2,2,London,1850000
2758,2,2739,5,5,5,Surrey,1850000
72,2,1910,5,5,5,London,1850000
211,3,1328,3,3,3,London,1850000
902,2,1678,5,5,5,London,1850000
2594,1,1080,2,2,2,London,1850000
1692,2,1679,3,3,3,London,1850000
2126,1,1332,2,2,2,London,1850000
1773,2,1623,3,3,3,London,1850000
449,2,1735,4,4,4,London,1850000
629,2,1341,3,3,3,London,1850000
2666,2,2917,5,5,5,Surrey,1855000
1781,1,1174,2,2,2,London,1860000
1980,1,1383,3,3,3,London,1875000
375,1,1675,4,4,4,London,1885000
688,2,1868,3,3,3,London,1895000
1137,1,1438,2,2,2,London,1895000
416,1,1474,3,3,3,London,1895000
2689,2,2564,5,5,5,Surrey,1895000
2314,2,1975,5,5,5,London,1895000
1353,4,1447,3,3,3,London,1895000
724,1,1522,2,2,2,London,1895000
1412,2,1250,3,3,3,London,1899950
263,2,1703,5,5,5,London,1900000
2854,2,2061,5,5,5,Twickenham,1900000
2509,1,1244,2,2,2,London,1950000
698,2,1873,5,5,5,London,1950000
1424,2,2006,5,5,5,London,1950000
2530,1,1878,3,3,3,London,1950000
2767,2,2797,6,6,6,Surrey,1950000
2764,2,2817,6,6,6,Surrey,1950000
1246,1,1765,2,2,2,London,1950000
2125,2,1907,5,5,5,London,1950000
1257,2,2063,5,5,5,London,1950000
2409,1,1376,2,2,2,London,1950000
2921,2,2054,5,5,5,other,1950000
1838,1,1730,3,3,3,London,1950000
2877,2,1795,3,3,3,other,1950000
2046,1,1883,3,3,3,London,1950000
453,1,1492,3,3,3,London,1985000
1461,1,1364,3,3,3,London,1990000
399,1,1560,2,2,2,London,1990000
1740,3,1495,4,4,4,London,1995000
115,2,1841,5,5,5,London,1995000
1713,2,2116,5,5,5,London,1995000
1227,1,1575,3,3,3,London,1995000
411,3,1848,3,3,3,London,1999950
2850,2,2537,5,5,5,Twickenham,1999995
328,2,1935,5,5,5,London,1999995
75,1,1608,3,3,3,London,1999999
503,1,1997,4,4,4,London,2000000
2887,3,2347,4,4,4,other,2000000
1876,1,1467,3,3,3,London,2000000
1350,1,1415,2,2,2,London,2000000
1029,3,1688,4,4,4,London,2000000
2398,2,1450,4,4,4,London,2000000
1567,3,1342,3,3,3,London,2000000
2112,1,1335,2,2,2,London,2000000
572,1,1520,2,2,2,London,2000000
1551,2,2009,4,4,4,London,2000000
1120,3,1693,4,4,4,London,2000000
362,3,1262,3,3,3,London,2020000
207,2,1293,3,3,3,London,2050000
82,1,1528,3,3,3,London,2095000
1158,3,1688,4,4,4,London,2100000
2262,1,1367,3,3,3,London,2100000
2891,3,2132,4,4,4,other,2100000
1770,2,1677,3,3,3,London,2100000
1413,1,1556,4,4,4,London,2100000
2322,2,1913,4,4,4,London,2100000
1470,1,1550,3,3,3,London,2100000
2205,2,2139,5,5,5,London,2100000
2885,3,2132,4,4,4,other,2100000
2714,1,2810,3,3,3,Surrey,2100000
489,2,2137,5,5,5,London,2100000
1195,1,1527,3,3,3,London,2100000
667,2,1959,5,5,5,London,2100000
1874,2,2128,4,4,4,London,2125000
703,1,1806,4,4,4,London,2150000
276,2,1582,3,3,3,London,2150000
2690,2,3177,5,5,5,Surrey,2150000
1180,2,2087,5,5,5,London,2150000
1806,1,1959,3,3,3,London,2150000
389,1,2074,4,4,4,London,2150000
2847,2,3176,5,5,5,Surrey,2150000
1234,2,1929,5,5,5,London,2150000
1349,1,1969,3,3,3,London,2150000
2051,1,1830,4,4,4,London,2150000
700,1,1672,3,3,3,London,2150000
691,2,2108,5,5,5,London,2175000
2640,2,3467,5,5,5,Middlesex,2195000
2636,2,3337,5,5,5,Middlesex,2195000
1871,1,1384,4,4,4,London,2195000
2180,1,1623,3,3,3,London,2195000
2328,4,1715,2,2,2,London,2200000
2397,1,1337,3,3,3,London,2200000
1880,2,2177,4,4,4,London,2200000
562,2,2266,5,5,5,London,2200000
2086,1,1945,3,3,3,London,2250000
2380,1,1539,2,2,2,London,2250000
1698,2,2030,6,6,6,London,2250000
692,2,2332,5,5,5,London,2250000
1652,1,1547,3,3,3,London,2250000
1643,2,1735,3,3,3,London,2250000
2931,1,1683,3,3,3,other,2250000
2358,2,1874,5,5,5,London,2250000
2716,2,3364,5,5,5,Surrey,2250000
2099,2,2351,5,5,5,London,2250000
826,1,1348,2,2,2,London,2250000
331,4,1765,2,2,2,London,2250000
494,2,2344,5,5,5,London,2250000
385,2,1857,4,4,4,London,2250000
2552,1,1515,3,3,3,London,2250000
2740,2,2946,4,4,4,Surrey,2250000
919,2,2389,5,5,5,London,2250000
1315,2,1642,4,4,4,London,2250000
1322,1,1700,3,3,3,London,2250000
485,2,1673,3,3,3,London,2250000
1198,1,1669,3,3,3,London,2250000
611,1,1641,3,3,3,London,2250000
932,2,1969,4,4,4,London,2275000
1794,1,1540,3,3,3,London,2275000
185,1,1604,2,2,2,London,2290000
579,1,2039,3,3,3,London,2295000
1044,2,2362,5,5,5,London,2300000
1447,2,1447,2,2,2,London,2300000
106,2,2083,5,5,5,London,2300000
133,2,1912,3,3,3,London,2300000
431,2,2124,4,4,4,London,2300000
2571,2,1705,3,3,3,London,2300000
2349,2,2062,4,4,4,London,2300000
105,2,1956,3,3,3,London,2300000
1832,2,1433,3,3,3,London,2300000
2876,3,2466,5,5,5,other,2325000
2355,4,1895,4,4,4,London,2325000
2861,3,2392,4,4,4,other,2325000
1780,2,2299,5,5,5,London,2350000
1805,1,2168,3,3,3,London,2350000
176,2,2153,4,4,4,London,2350000
2590,1,2207,2,2,2,London,2350000
2705,2,3861,5,5,5,Surrey,2350000
555,2,2281,4,4,4,London,2350000
65,2,2297,5,5,5,London,2350000
327,2,1519,4,4,4,London,2350000
823,2,1844,4,4,4,London,2350000
1333,2,2200,5,5,5,London,2350000
114,2,2183,5,5,5,London,2350000
2875,3,2540,5,5,5,other,2375000
371,2,2153,3,3,3,London,2375000
1546,1,2123,3,3,3,London,2375000
2430,2,2277,4,4,4,London,2395000
1076,2,2443,5,5,5,London,2395000
948,2,2212,4,4,4,London,2395000
481,2,2221,4,4,4,London,2395000
2688,2,3498,5,5,5,Surrey,2395000
1312,2,2222,4,4,4,London,2399500
131,1,1736,4,4,4,London,2400000
367,2,2411,4,4,4,London,2400000
585,2,2425,5,5,5,London,2400000
149,2,2202,5,5,5,London,2400000
942,1,1898,4,4,4,London,2400000
119,2,1483,3,3,3,London,2450000
528,4,1879,3,3,3,London,2450000
2561,4,2262,3,3,3,London,2450000
323,2,2313,4,4,4,London,2450000
2933,3,2328,3,3,3,other,2450000
792,2,2406,5,5,5,London,2475000
2893,3,2603,5,5,5,other,2485000
1884,2,2580,5,5,5,London,2495000
2833,2,4185,6,6,6,Surrey,2495000
2856,2,3609,6,6,6,Twickenham,2495000
2169,1,1753,3,3,3,London,2495000
983,2,2537,6,6,6,London,2500000
343,1,1498,2,2,2,London,2500000
332,1,1752,3,3,3,London,2500000
2547,1,1680,3,3,3,London,2500000
1722,2,1888,3,3,3,London,2500000
659,2,2458,5,5,5,London,2500000
2805,2,3740,6,6,6,Surrey,2500000
2534,1,1738,4,4,4,London,2500000
2608,2,4222,6,6,6,Middlesex,2500000
2271,2,2314,4,4,4,London,2500000
1344,1,1717,2,2,2,London,2500000
2277,1,1950,3,3,3,London,2500000
23,2,4012,5,5,5,Essex,2500000
1911,2,2475,4,4,4,London,2500000
2586,1,2480,4,4,4,London,2500000
2575,2,1702,3,3,3,London,2500000
841,1,2132,2,2,2,London,2500000
1259,2,2235,5,5,5,London,2500000
1287,3,1615,3,3,3,London,2500000
832,2,2413,5,5,5,London,2500000
1948,2,2082,3,3,3,London,2500000
884,2,2638,5,5,5,London,2520000
2275,2,2665,5,5,5,London,2550000
1428,2,2679,5,5,5,London,2550000
950,2,2241,5,5,5,London,2550000
2577,3,1766,3,3,3,London,2565000
2791,2,3785,5,5,5,Surrey,2575000
102,2,2120,5,5,5,London,2595000
1972,1,2006,3,3,3,London,2595000
353,1,1779,3,3,3,London,2600000
112,2,2350,4,4,4,London,2600000
722,1,1722,3,3,3,London,2600000
1129,2,2607,5,5,5,London,2650000
1089,2,2311,2,2,2,London,2650000
200,1,1811,3,3,3,London,2650000
2813,2,4141,5,5,5,Surrey,2650000
2066,4,2402,5,5,5,London,2650000
1188,3,1727,2,2,2,London,2650000
1396,2,2314,5,5,5,London,2650000
2385,2,2454,6,6,6,London,2650000
2644,2,3873,6,6,6,Middlesex,2685000
2136,2,2567,5,5,5,London,2695000
1375,2,2938,6,6,6,London,2695000
790,2,2685,5,5,5,London,2700000
205,2,1791,3,3,3,London,2700000
2145,1,1665,3,3,3,London,2700000
2754,2,3705,6,6,6,Surrey,2700000
2544,1,1971,3,3,3,London,2725000
18,2,4925,6,6,6,Essex,2750000
2047,1,1821,4,4,4,London,2750000
2375,1,2080,4,4,4,London,2750000
166,2,2675,4,4,4,London,2750000
1025,2,2637,4,4,4,London,2750000
164,1,1839,4,4,4,London,2750000
2093,2,1782,4,4,4,London,2750000
648,2,2612,6,6,6,London,2750000
1637,2,2479,4,4,4,London,2750000
1167,1,2339,5,5,5,London,2750000
357,2,2500,5,5,5,London,2750000
2101,2,2605,6,6,6,London,2750000
2300,1,1765,3,3,3,London,2750000
2527,1,2136,3,3,3,London,2750000
1754,2,2738,5,5,5,London,2750000
1002,1,1711,3,3,3,London,2775000
2037,2,2768,4,4,4,London,2795000
2052,2,2682,5,5,5,London,2800000
162,2,2734,6,6,6,London,2800000
2156,2,2872,5,5,5,London,2800000
2110,2,2959,5,5,5,London,2800000
415,2,1724,3,3,3,London,2850000
2427,1,2163,4,4,4,London,2850000
2804,2,4094,5,5,5,Surrey,2850000
2202,2,2833,5,5,5,London,2850000
1994,3,2767,3,3,3,London,2850000
812,1,1752,2,2,2,London,2850000
297,2,2857,5,5,5,London,2850000
727,1,1850,3,3,3,London,2895000
359,2,2730,5,5,5,London,2895000
2729,2,3660,6,6,6,Surrey,2895000
1659,2,3235,6,6,6,London,2950000
2158,3,3336,6,6,6,London,2950000
2712,2,4389,6,6,6,Surrey,2950000
2510,4,1884,3,3,3,London,2950000
470,2,3144,6,6,6,London,2950000
277,4,1840,2,2,2,London,2950000
2611,2,4034,6,6,6,Middlesex,2950000
1867,2,2142,4,4,4,London,2950000
2188,2,2995,5,5,5,London,2950000
851,3,2768,4,4,4,London,2950000
1402,4,2128,3,3,3,London,2950000
757,2,2740,4,4,4,London,2950000
679,2,2349,5,5,5,London,2950000
853,2,2041,3,3,3,London,2975000
2489,3,1835,2,2,2,London,2985000
1646,2,3175,6,6,6,London,2990000
568,2,3067,6,6,6,London,2990000
257,4,1845,3,3,3,London,2995000
2455,2,2486,5,5,5,London,2995000
2232,2,3295,6,6,6,London,2999000
1779,2,2853,5,5,5,London,3000000
2064,1,1901,4,4,4,London,3000000
1068,2,2011,4,4,4,London,3000000
2441,2,2607,5,5,5,London,3000000
2255,2,3027,5,5,5,London,3000000
778,2,2432,4,4,4,London,3000000
876,1,2427,4,4,4,London,3000000
1116,2,2599,5,5,5,London,3050000
143,1,2470,4,4,4,London,3100000
1898,1,2047,3,3,3,London,3100000
2310,2,2885,6,6,6,London,3100000
310,2,2809,5,5,5,London,3150000
1174,2,2894,5,5,5,London,3150000
904,2,3100,5,5,5,London,3150000
2497,3,2303,3,3,3,London,3200000
2345,2,2634,5,5,5,London,3200000
991,2,2988,4,4,4,London,3200000
1830,2,2282,3,3,3,London,3200000
847,2,3467,6,6,6,London,3250000
1645,2,2813,5,5,5,London,3250000
2443,2,1929,4,4,4,London,3250000
1543,2,3179,6,6,6,London,3250000
285,2,2210,3,3,3,London,3250000
287,2,2543,5,5,5,London,3250000
2425,1,2476,4,4,4,London,3250000
758,2,3156,5,5,5,London,3250000
922,2,3098,5,5,5,London,3250000
2076,2,3203,5,5,5,London,3250000
626,2,3230,5,5,5,London,3295000
1641,1,2435,4,4,4,London,3295000
1987,2,2885,6,6,6,London,3300000
1579,2,2640,5,5,5,London,3300000
1946,1,2024,4,4,4,London,3350000
79,4,2185,3,3,3,London,3350000
763,2,3256,5,5,5,London,3350000
1288,2,3583,6,6,6,London,3395000
2373,2,2441,4,4,4,London,3400000
414,4,2852,4,4,4,London,3410000
1620,2,3622,6,6,6,London,3425000
921,2,2160,4,4,4,London,3450000
348,2,3070,5,5,5,London,3450000
2659,2,5599,6,6,6,Surrey,3450000
2323,1,2377,5,5,5,London,3450000
113,2,2354,4,4,4,London,3450000
1735,1,2176,3,3,3,London,3495000
2399,2,3247,5,5,5,London,3500000
2365,1,2423,4,4,4,London,3500000
2470,3,2720,5,5,5,London,3500000
2185,2,2956,5,5,5,London,3500000
2381,2,3001,5,5,5,London,3500000
60,2,2331,4,4,4,London,3500000
2548,2,3174,4,4,4,London,3500000
576,2,2216,4,4,4,London,3500000
855,2,2401,4,4,4,London,3500000
1440,2,2600,4,4,4,London,3600000
1528,1,2147,3,3,3,London,3600000
222,2,2190,4,4,4,London,3625000
1379,2,3070,5,5,5,London,3650000
2432,2,2390,4,4,4,London,3650000
2843,2,5424,6,6,6,Surrey,3650000
141,2,2316,4,4,4,London,3695000
1676,2,2381,4,4,4,London,3700000
2818,2,5554,6,6,6,Surrey,3750000
654,2,2239,4,4,4,London,3750000
313,2,2428,3,3,3,London,3750000
2206,1,2315,4,4,4,London,3750000
438,2,2396,4,4,4,London,3750000
1661,2,2243,5,5,5,London,3750000
939,2,3391,5,5,5,London,3750000
168,2,3256,3,3,3,London,3750000
2476,4,2433,3,3,3,London,3750000
2508,2,3808,5,5,5,London,3750000
982,2,2285,4,4,4,London,3850000
767,2,2530,6,6,6,London,3950000
383,2,2547,4,4,4,London,3950000
506,2,2815,4,4,4,London,3950000
2252,2,2803,5,5,5,London,3950000
1431,1,2780,3,3,3,London,3950000
1389,1,2573,3,3,3,London,3950000
1067,3,2694,3,3,3,London,3995000
2127,2,3480,3,3,3,London,3995000
2503,2,3917,5,5,5,London,3995000
1628,2,2435,3,3,3,London,4000000
2437,2,3394,6,6,6,London,4000000
107,2,3714,5,5,5,London,4000000
754,2,2968,3,3,3,London,4200000
2473,2,2940,4,4,4,London,4250000
2307,2,2631,2,2,2,London,4250000
729,1,2713,6,6,6,London,4250000
2825,2,6632,7,7,7,Surrey,4250000
2027,1,2750,4,4,4,London,4250000
2593,2,3660,4,4,4,London,4300000
1512,2,4862,6,6,6,London,4350000
1316,2,3292,5,5,5,London,4395000
1043,2,4102,5,5,5,London,4400000
2167,2,3908,6,6,6,London,4500000
1895,4,2922,3,3,3,London,4500000
1774,1,2774,4,4,4,London,4500000
110,2,2972,3,3,3,London,4500000
911,2,2742,6,6,6,London,4500000
984,2,4653,7,7,7,London,4650000
2682,2,7996,6,6,6,Surrey,4650000
1269,2,3244,6,6,6,London,4650000
198,2,2865,4,4,4,London,4650000
2450,2,3343,4,4,4,London,4650000
737,2,3104,6,6,6,London,4750000
2303,2,2890,5,5,5,London,4750000
1536,2,2979,4,4,4,London,4750000
2475,2,4206,4,4,4,London,4750000
1899,2,3546,5,5,5,London,4750000
1999,2,4002,5,5,5,London,4750000
2836,2,8081,7,7,7,Surrey,4750000
1694,1,3943,5,5,5,London,4795000
2587,2,3467,4,4,4,London,4900000
780,2,4482,7,7,7,London,4950000
2585,2,2881,4,4,4,London,4950000
2741,2,7043,6,6,6,Surrey,4950000
2512,2,4452,7,7,7,London,4950000
2273,2,4622,6,6,6,London,4950000
1955,2,3908,4,4,4,London,4950000
811,3,3330,3,3,3,London,4950000
2652,2,8042,6,6,6,Middlesex,4995000
237,2,3035,4,4,4,London,4995000
2352,4,4004,4,4,4,London,5000000
1690,2,4980,6,6,6,London,5000000
2828,2,7879,6,6,6,Surrey,5000000
646,2,4459,7,7,7,London,5100000
2383,2,4144,6,6,6,London,5250000
1706,2,3092,5,5,5,London,5250000
618,2,3782,8,8,8,London,5250000
2511,2,3108,8,8,8,London,5250000
1534,2,4273,6,6,6,London,5500000
497,2,4666,7,7,7,London,5500000
144,2,3674,4,4,4,London,5500000
1434,2,4292,6,6,6,London,5500000
197,2,4682,6,6,6,London,5750000
1865,2,3753,6,6,6,London,5750000
1635,3,6313,6,6,6,London,5995000
2596,2,4435,6,6,6,London,5995000
2848,2,10764,6,6,6,Surrey,6250000
1070,4,4689,4,4,4,London,6350000
1539,2,5288,6,6,6,London,6450000
1968,2,4185,6,6,6,London,6500000
507,2,5196,6,6,6,London,6500000
315,2,4637,6,6,6,London,6795000
2324,3,4295,5,5,5,London,6950000
2745,3,11177,6,6,6,Surrey,6950000
165,2,5501,6,6,6,London,6950000
2054,2,6388,8,8,8,London,7000000
2737,2,12526,7,7,7,Surrey,7500000
1386,2,6713,8,8,8,London,8000000
2597,2,5395,6,6,6,London,8650000
2535,2,5727,6,6,6,London,8950000
2108,2,7226,5,5,5,London,11950000
2461,2,7526,6,6,6,London,12750000
2356,2,14358,7,7,7,London,17950000
2491,3,15405,7,7,7,London,23950000
